reduced test : 245, coverage : 0.9100817438692098, cross entropy : 0.02747766762799755, accuracy : 0.8612244897959184
reduced test : 246, coverage : 0.9100817438692098, cross entropy : 0.027524600827866817, accuracy : 0.8617886178861789
reduced test : 247, coverage : 0.9100817438692098, cross entropy : 0.02724130265861571, accuracy : 0.8582995951417004
reduced test : 248, coverage : 0.9100817438692098, cross entropy : 0.027058039741125802, accuracy : 0.8588709677419355
reduced test : 249, coverage : 0.9100817438692098, cross entropy : 0.026953661622584786, accuracy : 0.8554216867469879
reduced test : 250, coverage : 0.9100817438692098, cross entropy : 0.026652331985044676, accuracy : 0.852
reduced test : 251, coverage : 0.9100817438692098, cross entropy : 0.02661091995527495, accuracy : 0.852589641434263
reduced test : 252, coverage : 0.9100817438692098, cross entropy : 0.026401374226275618, accuracy : 0.8531746031746031
reduced test : 253, coverage : 0.9100817438692098, cross entropy : 0.026265089026287897, accuracy : 0.8537549407114624
reduced test : 254, coverage : 0.9100817438692098, cross entropy : 0.026177474527647824, accuracy : 0.8543307086614174
reduced test : 255, coverage : 0.9100817438692098, cross entropy : 0.025918377881525123, accuracy : 0.8509803921568627
reduced test : 256, coverage : 0.9100817438692098, cross entropy : 0.025755331656243104, accuracy : 0.84765625
reduced test : 257, coverage : 0.9100817438692098, cross entropy : 0.025482891649604718, accuracy : 0.8482490272373541
reduced test : 258, coverage : 0.9100817438692098, cross entropy : 0.02528106036042293, accuracy : 0.8449612403100775
reduced test : 259, coverage : 0.9100817438692098, cross entropy : 0.0254242343181424, accuracy : 0.8455598455598455
reduced test : 260, coverage : 0.9100817438692098, cross entropy : 0.02533163565986197, accuracy : 0.8461538461538461
reduced test : 261, coverage : 0.9100817438692098, cross entropy : 0.025287552285933594, accuracy : 0.8467432950191571
reduced test : 262, coverage : 0.9100817438692098, cross entropy : 0.025275834147313866, accuracy : 0.8473282442748091
reduced test : 263, coverage : 0.9100817438692098, cross entropy : 0.025198343052887172, accuracy : 0.844106463878327
reduced test : 264, coverage : 0.9100817438692098, cross entropy : 0.025114258215266975, accuracy : 0.8446969696969697
reduced test : 265, coverage : 0.9100817438692098, cross entropy : 0.024902079069098176, accuracy : 0.8452830188679246
reduced test : 266, coverage : 0.9100817438692098, cross entropy : 0.024894950219465976, accuracy : 0.8458646616541353
reduced test : 267, coverage : 0.9100817438692098, cross entropy : 0.02467387683842375, accuracy : 0.846441947565543
reduced test : 268, coverage : 0.9100817438692098, cross entropy : 0.024416340555564315, accuracy : 0.8432835820895522
reduced test : 269, coverage : 0.9100817438692098, cross entropy : 0.0243237683245004, accuracy : 0.8438661710037175
reduced test : 270, coverage : 0.9100817438692098, cross entropy : 0.024085580474465948, accuracy : 0.8444444444444444
