reduced test : 104, coverage : 0.9048582995951417, cross entropy : 0.0306633010434941, accuracy : 1.0
reduced test : 105, coverage : 0.9048582995951417, cross entropy : 0.02965157854201737, accuracy : 1.0
reduced test : 106, coverage : 0.9048582995951417, cross entropy : 0.028819259170425836, accuracy : 1.0
reduced test : 107, coverage : 0.9048582995951417, cross entropy : 0.02910461296769204, accuracy : 1.0
reduced test : 108, coverage : 0.9048582995951417, cross entropy : 0.028737155341172844, accuracy : 1.0
reduced test : 109, coverage : 0.9048582995951417, cross entropy : 0.028138254676743985, accuracy : 1.0
reduced test : 110, coverage : 0.9048582995951417, cross entropy : 0.02773669054622731, accuracy : 1.0
reduced test : 111, coverage : 0.9048582995951417, cross entropy : 0.02743573207111242, accuracy : 1.0
reduced test : 112, coverage : 0.9048582995951417, cross entropy : 0.027036286101961238, accuracy : 1.0
reduced test : 113, coverage : 0.9048582995951417, cross entropy : 0.026295588357041627, accuracy : 1.0
reduced test : 114, coverage : 0.9048582995951417, cross entropy : 0.025780746164827763, accuracy : 1.0
reduced test : 115, coverage : 0.9048582995951417, cross entropy : 0.025264189162780427, accuracy : 1.0
reduced test : 116, coverage : 0.9048582995951417, cross entropy : 0.025195016067918415, accuracy : 1.0
reduced test : 117, coverage : 0.9048582995951417, cross entropy : 0.0253414092943037, accuracy : 1.0
reduced test : 118, coverage : 0.9048582995951417, cross entropy : 0.024715460971248514, accuracy : 1.0
reduced test : 119, coverage : 0.9048582995951417, cross entropy : 0.02468367529085584, accuracy : 1.0
reduced test : 120, coverage : 0.9048582995951417, cross entropy : 0.02440228719189536, accuracy : 1.0
reduced test : 121, coverage : 0.9048582995951417, cross entropy : 0.024933983669522864, accuracy : 1.0
reduced test : 122, coverage : 0.9048582995951417, cross entropy : 0.023993574711455884, accuracy : 1.0
reduced test : 123, coverage : 0.9048582995951417, cross entropy : 0.023344688809581564, accuracy : 1.0
reduced test : 124, coverage : 0.9048582995951417, cross entropy : 0.023144821395854186, accuracy : 1.0
